FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
906,SYR234,0.155554594484,Beattie St,Erie Blvd,Dakin,100,17,22,9,Excellent,19,Local,2021/07/16 00:00:00+00,343.380394950509
907,SYR2340,0.0916293208588,Merrill St,LeMoyne,D.E. @City line,200,1,24,6,Fair,19,Local,2021/07/13 00:00:00+00,202.133666661225
908,SYR2341,0.10472896687,Merriman Ave,Kellogg,Oswego,100,10,25,5,Poor,19,Local,2021/07/22 00:00:00+00,230.320231995502
909,SYR2342,0.181156275413,Merriman Ave,Oswego,Massena,200,10,25,9,Excellent,19,Local,2021/07/22 00:00:00+00,398.395377189079
910,SYR2343,0.126610021929,Merriman Ave,Massena,Barrett,300,10,25,8,Good,19,Local,2021/07/22 00:00:00+00,278.43787841585
911,SYR2344,0.127276622878,Merriman Ave,Barrett,Geddes,400,10,25,8,Good,19,Local,2021/07/22 00:00:00+00,279.902547866591
912,SYR2345,0.224072078642,Merritt Ave,Valley Dr.,Crestview,0,13,28,7,Good,19,Local,2021/07/19 00:00:00+00,492.441789457474
913,SYR2346,0.111870532665,Merritt Ave,Crestview,Hopper,300,13,28,8,Good,19,Local,2021/07/19 00:00:00+00,245.856375981016
914,SYR2347,0.058815653997,Mertens Ave,Wadsworth,Woodruff,100,4,27,5,Poor,19,Local,2021/06/17 00:00:00+00,129.411784229708
915,SYR2348,0.0611083429651,Mertens Ave,Woodruff,Oak,200,4,27,6,Fair,19,Local,2021/06/17 00:00:00+00,134.45658767252
916,SYR2349,0.0564657362787,Mertens Ave,Oak,Helen,300,4,28,5,Poor,19,Local,2021/06/17 00:00:00+00,124.24197237401
917,SYR235,0.100184668395,Beattie St.,Dakin,Ridgeway,200,17,22,9,Excellent,19,Local,2021/07/16 00:00:00+00,221.147244931466
