FID,OBJECTID,BPID,Road_Class,FC,Miles,Rating_202,Rating_Cat,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Feet,Shape__Len,Shape__Length
1684,659,SYR1716,2,16,0.135001998982,6,Fair,Hiawatha Blvd W,State Fair Blvd.,Erie Blvd.,600,2,41,712.810554624,297.525720944,297.525720937757
1685,660,SYR1717,2,19,0.177841688434,8,Good,Hickock Ave.,James,Northcliffe,100,5,24,939.00411493,392.67657415,392.67657413975
1686,661,SYR1718,2,19,0.150071434836,8,Good,Hickock Ave.,Northcliffe,Glencove,200,5,24,792.377175935,331.346360653,331.346360656464
1687,662,SYR1719,2,19,0.157548192608,7,Good,Hickock Ave.,Glencove,Sunnycrest,300,5,24,831.854456973,347.842520351,347.842520355946
1688,663,SYR172,2,19,0.0549220915887,6,Fair,Ball Ave.,Fayette Blvd.,Harwood,400,17,27,289.988643588,121.232561936,121.232561940478
1689,664,SYR1720,2,19,0.188113495817,6,Fair,Hickock Ave.,Sunnycrest,Caleb,400,5,24,993.239257916,415.309295265,415.309295262225
1690,665,SYR1721,2,19,0.142063827181,5,Poor,Hickock Ave.,Caleb,Burnet,500,5,24,750.097007515,313.630490903,313.630490901777
1691,666,SYR1722,2,19,0.0441800518717,5,Poor,Hickory St,Pearl,State,200,9,27,233.270673882,97.280164363,97.2801643678096
1692,667,SYR1723,2,19,0.0759955559927,5,Poor,Hickory St.,State,Prospect,300,9,27,401.256535642,167.347221606,167.347221603652
1693,668,SYR1724,2,19,0.0696323492388,7,Good,Hickory St.,Prospect,Townsend,400,9,27,367.658803981,153.342512209,153.342512214911
1694,669,SYR1725,2,19,0.0873877682475,7,Good,Hickory St.,Townsend,McBride,500,9,27,461.407416347,192.438710051,192.438710052357
1695,670,SYR1726,2,19,0.0881769143333,7,Good,Hickory St.,McBride,Catherine,600,9,27,465.57410768,194.182850615,194.182850618245
1696,671,SYR1727,2,19,0.110624379622,7,Good,Hickory St.,Catherine,Lodi,700,9,27,584.096724407,243.623818739,243.623818743732
1697,672,SYR1728,2,19,0.0739231935182,5,Poor,Hier Ave,Park,Carbon,100,4,27,390.314461776,163.214184109,163.214184103085
1698,673,SYR1729,2,19,0.16782408063,5,Poor,Hier Ave,Carbon,Knaul,200,4,27,886.111145726,370.547135964,370.547135969843
1699,674,SYR173,2,19,0.0545440244093,6,Fair,Ball Ave.,Harwood,Milnor,500,17,27,287.992448881,120.397083281,120.397083278723
1700,675,SYR1730,2,19,0.0643423489144,6,Fair,Hier Ave,Knaul,Schiller Park,300,4,27,339.727602268,142.068285814,142.068285805541
